lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01KKT574B0AMFWCNNT7MW17K9J,Attalah Hadad,20.615143,28.333343505859375,71.0,0.6521453,4.315603,5.464314,0,3,0,26.668184,3.060133,1.0
01JZDRM2KQ9CG5Y7NJJBZ7BM4A,Attila Kozo,18.333334,18.333343505859375,,0.049999993,0.44704002,0.0,0,4,0,4.274689,3.1397326,1.0
01KDGJ40QGAJ3GRSEMX43QB34R,Attila Sipos,18.753239,23.333343505859375,57.0,0.83584994,5.8131423,4.9944887,0,2,0,14.080554,3.1244833,1.0
01KDBQZ0K35V2T86EMM6JTK9ZS,Audun Braastad,18.772419,24.4444580078125,15.0,0.83137864,5.514372,5.816631,0,2,0,29.363262,3.0641174,1.0
01JXX7G1W33Z4JGG4B7T0PHPNN,Augusto Saccoccio,20.240845,36.111114501953125,15.0,0.7519311,4.4588294,6.206064,0,2,0,39.30102,3.1081798,1.0
01K7584YMQ93PM74E32DASJRV6,Auke Haarsma,19.190552,21.666656494140625,57.0,0.8888497,3.1486359,4.5184135,0,2,0,30.117468,3.1330366,1.0
01KDM1P63M182RTWGW7C3JW9RH,Austin W Reed,18.886866,21.666656494140625,,0.95,4.9928966,4.457117,0,3,0,31.986725,3.0106692,
01K6Y4M0N5YS1RPMHDGER9MM03,Avery Hart,19.457474,20.0,42.0,0.8729346,3.4002726,4.947485,0,3,0,48.78448,3.0159593,1.0
01KDG84BY1FQXX9420BJWDZ9WN,Ayton Lamers,18.754246,25.0,84.0,0.7772721,3.9874992,5.9527082,0,2,0,20.15472,3.1326804,1.0
01KD56WVN9W0AR4NM2TB8MEH8D,Balázs Jeránek,19.192299,25.0,,0.4851467,2.4990742,2.281113,0,2,0,42.967216,3.1193364,1.0
01KFTT811J65GK0T2DSY82BGHV,Bartosz Kostowski,18.756899,23.333343505859375,28.0,0.757984,3.1720505,0.5069844,0,3,0,14.84917,3.013478,1.0
01JXX88WG6GTN95HVMN4MTJ5EA,Baysal H Mehmed,20.33276,36.666656494140625,57.0,0.74719656,4.941424,0.22174615,0,2,0,27.825628,3.0663369,1.0
01K7F7M7B7A60Y9WD7SX4BS46M,Ben Loxton,19.110786,20.0,57.0,0.95,4.656895,4.7578025,0,3,0,39.21668,3.1454527,1.0
01JW4K4T535H9TPVCV74TA63C7,Ben Warren,22.795858,23.888885498046875,28.0,0.6136235,2.1223083,4.6714168,0,2,0,6.551412,3.0681763,1.0
01K6X3M9HTY0Y0X0MZV0133Y4E,Bence Forgo,19.518888,20.555572509765625,42.0,0.95,1.2772744,4.8366675,0,3,0,21.838223,2.9886372,1.0
01KD2RFC2AGZ6V263BDFYC5EP4,Beni Sorek,20.392202,20.555572509765625,57.0,0.3598237,0.94736356,3.7425578,0,3,0,45.408955,3.1525187,1.0
01HX8CVZPAN00D4HKA7XXXR1F5,Benjamin Brook,19.532293,24.4444580078125,71.0,0.6866513,5.567052,3.0234642,0,2,0,7.9740076,3.043039,1.0
01KDAMJK629EN2A32KAHZ1AAS0,Benjamin G. Rodriguez,18.333334,20.555572509765625,57.0,0.0,0.44704002,4.712389,0,1,0,-15.562217,3.1998792,1.0
01KD8E2BFB154YS5ACH8CARYK5,Benjamin Hunter,18.907423,23.333343505859375,57.0,0.67567176,4.897873,0.71189374,0,2,0,32.806267,3.1191294,1.0
01K715SH2MN9QTE58DHG533DQ5,Benn Snell,20.0,20.0,28.0,0.49999997,3.57632,3.926991,0,1,0,39.208332,3.109952,1.0
01KDF4CRRSFPE9TH4PF1Z50S85,Benny Lane,19.085228,25.0,57.0,0.60396963,5.0348196,5.384833,0,2,0,42.6963,3.0958397,1.0
01KDMN721ESVW5TWXYNX7YPMXY,Bernd Beier,18.934053,23.333343505859375,42.0,0.6255946,2.459986,2.5059626,0,2,0,18.996202,3.2198012,1.0
01KD64GMCKWDYDD8VP11FAQVJK,Bill Raptakis,18.896528,23.888885498046875,42.0,0.54865694,4.325458,1.6000267,0,2,0,4.645131,3.0377269,1.0
01K72P510DES8FJH6G751TNGP0,Bjarke Nue Seit Jespersen,20.104109,22.22222900390625,42.0,0.7266465,3.586553,4.4054756,0,2,0,27.544302,3.0170808,1.0
01K9016A5PVA421EF7F23JWKWS,Bjoern Anschlag,20.25503,23.333343505859375,100.0,0.43286976,1.2558545,5.843101,0,3,0,10.465364,3.0957716,1.0
01JVWR2AKYH5WZ0996A2YNTKEW,Björn Kammer,23.762255,25.0,71.0,0.6268202,4.192569,1.4891945,0,2,0,36.885616,3.023034,1.0
01K712MRKCY3C10VHJH9NCT8PW,Blair Winters,19.388933,22.22222900390625,42.0,0.9005864,5.6065965,0.77885026,0,2,0,39.39848,3.102679,
01K75Q92213KSVFV59446HJYJ3,Bob Mendy,19.67504,22.22222900390625,15.0,0.95,2.2420921,2.2934978,0,2,0,33.398857,3.1080413,1.0
01KDD5G8YXEM046R5GKRBRSAZQ,Boetie Van Tonder,18.773893,21.666656494140625,28.0,0.85426944,3.0295625,1.6656677,0,2,0,20.458334,3.1905775,1.0
01KD07B1SFZ58JWV4GQ29HDF1Q,Bogdan Stanila,19.58213,20.0,,0.3719551,0.8260211,2.793582,0,3,0,39.880463,3.0233681,1.0
01KCYJEM2NPH9NDV5YK04Z8BA0,Boldizsár Lantos,18.847187,18.888885498046875,57.0,0.7763113,6.1497364,2.999455,0,2,0,33.955715,2.9968436,1.0
01K7BXF6WAZE2DGTJ4Y6VZQBJR,Boris Smolorz,20.066517,22.22222900390625,42.0,0.86720556,4.100549,3.454362,0,2,0,22.444706,3.2605727,1.0
01K7DGEWVGVRX717G0A4HY828Y,Brandon Burns,20.690712,22.22222900390625,,0.6471702,2.2609541,2.4269261,0,2,0,20.516132,3.1279416,1.0
01KD8A4CX6QJY7F9GMP2FAQGJ0,Branson Haldor,19.041216,24.4444580078125,28.0,0.5935616,2.2938833,1.5235158,0,2,0,32.9426,3.1161234,1.0
01K75QDNM9S9SHXCW2H23MHVWA,Brendan Richards,19.629072,21.666656494140625,42.0,0.9494277,3.1304293,5.0308576,0,2,0,14.65954,3.1125653,1.0
01KD4J7WF9KQ9BGQ6CA36XAQMY,Breno Rosa,19.92091,20.555572509765625,84.0,0.29528835,0.71011794,4.3429055,0,3,0,17.074913,3.1024163,1.0
01JZC94BD0GY3MZNGJBEYZWNH4,Brent Smith8,18.333334,23.888885498046875,84.0,0.45,0.89408004,0.0,0,1,0,26.685139,3.123244,1.0
01KKTC1N0TQF7E3187RBW41YPR,Britton Mears2,20.59696,32.22222900390625,57.0,0.5371694,4.196642,4.9770355,0,4,0,26.768263,3.0096107,1.0
01K08Q4RV8MM7NXJ2DER3PQ354,Bruce Cervantes,19.447214,33.333343505859375,57.0,0.9483612,6.2301598,0.7719876,0,3,0,10.901627,3.007414,1.0
01KD72292GJ8E7Q4QG2AWT8FK5,Bruno Borges7,19.27087,25.0,57.0,0.57196313,5.2964396,0.39710253,0,2,0,8.843075,3.1001155,1.0
01K71DS4DDQ7C49H5368VZHGEG,Bruno H M Santos,20.654993,23.333343505859375,42.0,0.78954995,5.0096197,0.09555405,0,2,0,42.831997,3.0584428,1.0
01K788D3KJYX3FS14MZ79PJMQQ,Bruno Lazzarotto,19.362188,21.111114501953125,15.0,0.9490069,2.283943,0.2864763,0,3,0,36.20681,3.0113997,
01KD49SASX6MXX9K7REV341YM3,Bruno Luna Ribeiro,18.69424,18.888885498046875,57.0,0.8367792,5.509343,3.9411514,0,2,0,30.648506,3.0700586,1.0
01KDGMQSQNK3P4TT30S83N579H,Bruno Maurer,18.765408,24.4444580078125,42.0,0.63911104,3.1369662,1.8113322,0,2,0,23.394203,3.152065,1.0
01KC0Q11ESNFDN215EGXVCAMKF,Bryaant Tyrawa,20.17674,22.22222900390625,42.0,0.5990529,4.174939,5.7837877,0,3,0,45.576065,3.1341722,1.0
01K73XMZ5V68GG61EEWWBFZYK4,Cale Sullivan,19.018578,20.555572509765625,57.0,0.90532434,2.7121751,0.3105418,0,2,0,39.59332,3.0135477,1.0
01K7BMMJ5Y7K934782N0QKM17Z,Cam J Kinsman,20.277508,23.888885498046875,42.0,0.84597176,3.5196347,5.889371,0,2,0,33.951157,3.08102,
