driver,lap_time_s,lap_time_str,lap_id,n_samples,filename
Marshall Skare,100.498,01:40.498,01KDK6XEFHQDMC768QDKSB7V0C,6030,Garage 61 - Marshall Skare - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.498 - 01KDK6XEFHQDMC768QDKSB7V0C.csv
Steven Singer,100.523,01:40.523,01KDKC1B2BFXPCX2H9YFG17PDY,6031,Garage 61 - Steven Singer - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.523 - 01KDKC1B2BFXPCX2H9YFG17PDY.csv
Masin Sandlin,100.524,01:40.524,01KFPJQN57MJKEVSJYSWXS37R5,6031,Garage 61 - Masin Sandlin - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.524 - 01KFPJQN57MJKEVSJYSWXS37R5.csv
Javi Pérez González,101.818,01:41.818,01KD5T9D3GHYMVZ18TJMV0RW0H,6109,Garage 61 - Javi Pérez González - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.818 - 01KD5T9D3GHYMVZ18TJMV0RW0H.csv
Dale Pedersen,101.818,01:41.818,01KCMC5S01XCW5Q82ER0PCXJN6,6109,Garage 61 - Dale Pedersen - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.818 - 01KCMC5S01XCW5Q82ER0PCXJN6.csv
Jean-Michel Noyon,101.818,01:41.818,01KD8FR5JA0K34KKB6CFXAXVTD,6110,Garage 61 - Jean-Michel Noyon - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.818 - 01KD8FR5JA0K34KKB6CFXAXVTD.csv
Alden Lisboa,101.82,01:41.820,01KDG8B3QB3MHC5B708S58FFD5,6109,Garage 61 - Alden Lisboa - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.820 - 01KDG8B3QB3MHC5B708S58FFD5.csv
Fernando Sacramento,101.82,01:41.820,01KD4S3RHJ62PYN111FVS26WFC,6109,Garage 61 - Fernando Sacramento - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.820 - 01KD4S3RHJ62PYN111FVS26WFC.csv
Vincent Lodder,101.82,01:41.820,01KDGSMKE8CH8TKKXQ5Q0YQ5BP,6109,Garage 61 - Vincent Lodder - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.820 - 01KDGSMKE8CH8TKKXQ5Q0YQ5BP.csv
Alden Lisboa,101.821,01:41.821,01KDG8B3QB3MHC5B708RPV9ZY3,6110,Garage 61 - Alden Lisboa - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.821 - 01KDG8B3QB3MHC5B708RPV9ZY3.csv
Balázs Jeránek,101.821,01:41.821,01KD56WVN9W0AR4NM2TKSJ3EYQ,6109,Garage 61 - Balázs Jeránek - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.821 - 01KD56WVN9W0AR4NM2TKSJ3EYQ.csv
Joshua Wilk,101.822,01:41.822,01KD6A7Q01B9544TVJ4GA8TMZ2,6109,Garage 61 - Joshua Wilk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.822 - 01KD6A7Q01B9544TVJ4GA8TMZ2.csv
Jaka Bezjak,101.822,01:41.822,01KDGYFP2V81F4GHN2F96Y0B41,6109,Garage 61 - Jaka Bezjak - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.822 - 01KDGYFP2V81F4GHN2F96Y0B41.csv
Sebastian Trujillo,101.822,01:41.822,01KDE0DQ4SCXH5FT4Z7X5T3SGN,6109,Garage 61 - Sebastian Trujillo - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.822 - 01KDE0DQ4SCXH5FT4Z7X5T3SGN.csv
Robert Samczyk,101.822,01:41.822,01KDNYDXYCMH6Z13GF1JV8R9YT,6109,Garage 61 - Robert Samczyk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.822 - 01KDNYDXYCMH6Z13GF1JV8R9YT.csv
Boldizsár Lantos,101.823,01:41.823,01KCYJEM2NPH9NDV5YJYEE2ZKC,6110,Garage 61 - Boldizsár Lantos - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.41.823 - 01KCYJEM2NPH9NDV5YJYEE2ZKC.csv
